,Date,Nationality,Visitor_Index,Seat_Index,Outbound_Index,Stock index value,Temperature Difference,Oil Price,Exchange Rate to USD,Google Searches,Flight Prices,Trade Flows,Visa Policy,Vacation Days
2143,2015-08-01,Czech Republic,74.58672646445572,122.4534847051403,112.57143785839027,1024.05,15.0,45.69,0.041152,39.0,,677.13981,1.0,31.0
2144,2015-09-01,Czech Republic,94.38097486132419,125.37842951750237,112.57143785839027,971.1,20.0,46.28,0.041464,43.0,,1759.5650100000003,1.0,1.0
2145,2015-10-01,Czech Republic,177.4833785750816,152.2548092084516,112.57143785839027,983.14,24.0,46.96,0.041393,52.0,,1910.1747,1.0,3.0
2146,2015-11-01,Czech Republic,181.32617333490697,159.15326395458843,112.57143785839027,974.4,21.0,43.11,0.039708999999999994,35.0,,1468.89952,1.0,1.0
2147,2015-12-01,Czech Republic,158.49482670443368,161.14790286975716,112.57143785839027,956.33,18.0,36.57,0.040317,100.0,,567.8881700000001,1.0,12.0
2148,2016-01-01,Czech Republic,138.8744639836343,155.4478082623778,123.76140218355542,921.07,22.0,29.78,0.040199,36.0,,1965.8772,1.0,4.0
2149,2016-02-01,Czech Republic,197.6556906251229,145.02522863450017,123.76140218355542,857.61,19.0,31.03,0.041068,43.0,,1741.3791399999998,1.0,1.0
2150,2016-03-01,Czech Republic,262.8490499232857,162.63796909492277,123.76140218355542,899.91,21.0,37.34,0.041129,41.1,,2032.521,1.0,4.0
2151,2016-04-01,Czech Republic,189.6978638026673,156.22043519394512,123.76140218355542,916.04,19.0,40.75,0.041943,34.1,,2192.16887,1.0,0.0
2152,2016-05-01,Czech Republic,170.6664306227625,177.9328287606433,123.76140218355542,893.76,18.0,45.94,0.041821,31.0,,1682.28503,1.0,1.0
2153,2016-06-01,Czech Republic,86.38262716865337,161.0927152317881,123.76140218355542,816.91,17.0,47.69,0.041557,25.0,,1939.47288,1.0,0.0
2154,2016-07-01,Czech Republic,108.23124434478146,187.36991485335858,123.76140218355542,881.74,17.0,44.13,0.040918,50.1,,1013.9204,1.0,31.0
2155,2016-08-01,Czech Republic,109.58495613517448,181.4096499526963,123.76140218355542,859.14,19.0,44.87,0.041454000000000005,40.0,,1304.5162,1.0,31.0
2156,2016-09-01,Czech Republic,151.7974743302254,192.57332071901607,123.76140218355542,863.58,17.0,45.04,0.041471,44.0,,1850.09212,1.0,1.0
2157,2016-10-01,Czech Republic,275.73193280616863,217.43929359823397,123.76140218355542,921.78,23.0,49.29,0.040859,45.0,,1754.1263399999998,1.0,3.0
2158,2016-11-01,Czech Republic,264.9730516542744,205.8656575212866,123.76140218355542,881.22,25.0,45.26,0.039942,43.1,,1463.2645,1.0,1.0
2159,2016-12-01,Czech Republic,226.5018293402573,204.58845789971616,123.76140218355542,921.61,24.0,52.62,0.038983,51.0,,735.26882,1.0,12.0
2160,2017-01-01,Czech Republic,226.2882096069869,189.356669820246,132.26036882391753,932.46,28.0,53.59,0.039313,47.1,,1724.6688600000002,1.0,4.0
2161,2017-02-01,Czech Republic,349.21082654707106,177.98013245033113,132.26036882391753,953.92,21.0,54.34,0.039411,54.0,,1471.50118,1.0,1.0
2162,2017-03-01,Czech Republic,369.25606829536963,201.60832544938503,132.26036882391753,981.15,19.0,50.9,0.039559,43.1,,1847.11595,1.0,2.0
2163,2017-04-01,Czech Republic,309.22931665289735,196.90160832544942,132.26036882391753,1007.87,23.0,52.16,0.039919,36.1,,1342.41237,1.0,2.0
